SentenceLength;SimilarityThreshold;Accuracy
8;0.50;0.5557291666666667
8;0.51;0.5580729166666667
8;0.52;0.559375
8;0.53;0.5606770833333333
8;0.54;0.5604166666666667
8;0.55;0.5630208333333333
8;0.56;0.5638020833333334
8;0.57;0.56640625
8;0.58;0.5682291666666667
8;0.59;0.5638020833333334
8;0.60;0.565625
8;0.61;0.5653645833333333
8;0.62;0.5669270833333333
8;0.63;0.5705729166666667
8;0.64;0.5677083333333334
8;0.65;0.5713541666666667
8;0.66;0.5708333333333333
8;0.67;0.5700520833333333
8;0.68;0.5700520833333333
8;0.69;0.57109375
8;0.70;0.57265625
8;0.71;0.5697916666666667
8;0.72;0.5697916666666667
8;0.73;0.56875
8;0.74;0.5703125
8;0.75;0.56953125
8;0.76;0.5661458333333333
8;0.77;0.5609375
8;0.78;0.5580729166666667
8;0.79;0.5486979166666667
8;0.80;0.5403645833333334
8;0.81;0.534375
8;0.82;0.5268229166666667
8;0.83;0.5247395833333334
8;0.84;0.5208333333333334
8;0.85;0.5158854166666667
8;0.86;0.5106770833333333
8;0.87;0.5080729166666667
8;0.88;0.5041666666666667
8;0.89;0.5036458333333333
8;0.90;0.5026041666666666
8;0.91;0.5010416666666667
8;0.92;0.50078125
8;0.93;0.5005208333333333
8;0.94;0.5005208333333333
8;0.95;0.5005208333333333
8;0.96;0.5005208333333333
8;0.97;0.5005208333333333
8;0.98;0.5005208333333333
8;0.99;0.5005208333333333
9;0.50;0.5513020833333333
9;0.51;0.5549479166666667
9;0.52;0.5591145833333333
9;0.53;0.5604166666666667
9;0.54;0.5645833333333333
9;0.55;0.565625
9;0.56;0.5643229166666667
9;0.57;0.5645833333333333
9;0.58;0.56484375
9;0.59;0.5630208333333333
9;0.60;0.5682291666666667
9;0.61;0.5674479166666667
9;0.62;0.5700520833333333
9;0.63;0.571875
9;0.64;0.57265625
9;0.65;0.5708333333333333
9;0.66;0.5716145833333334
9;0.67;0.5729166666666666
9;0.68;0.5747395833333333
9;0.69;0.5713541666666667
9;0.70;0.57265625
9;0.71;0.57578125
9;0.72;0.5734375
9;0.73;0.5747395833333333
9;0.74;0.5734375
9;0.75;0.5721354166666667
9;0.76;0.5692708333333333
9;0.77;0.5677083333333334
9;0.78;0.5604166666666667
9;0.79;0.55390625
9;0.80;0.5486979166666667
9;0.81;0.53828125
9;0.82;0.53203125
9;0.83;0.5260416666666666
9;0.84;0.521875
9;0.85;0.5190104166666667
9;0.86;0.5135416666666667
9;0.87;0.5088541666666667
9;0.88;0.5044270833333333
9;0.89;0.5033854166666667
9;0.90;0.5026041666666666
9;0.91;0.5013020833333334
9;0.92;0.5010416666666667
9;0.93;0.5005208333333333
9;0.94;0.5005208333333333
9;0.95;0.5005208333333333
9;0.96;0.5005208333333333
9;0.97;0.5005208333333333
9;0.98;0.5005208333333333
9;0.99;0.5005208333333333
