d5e235293Heiligenlexikon-1858;(29. März al. 29. u. 30. Juni)
d5e239223Heiligenlexikon-1858;(22. al. 23. 31. Mai)
d5e239223Heiligenlexikon-1858;(22. al. 23. 31. Mai)
d5e242351Heiligenlexikon-1858;(28. Jan, al. 29., 30. Mai, 6. Dec)
d5e242351Heiligenlexikon-1858;(28. Jan, al. 29., 30. Mai, 6. Dec)
d5e243191Heiligenlexikon-1858;(21. Mai al. 19., 22. März)
d5e244541Heiligenlexikon-1858;(29. al. 17, 20 April., 21. März)
d5e244541Heiligenlexikon-1858;(29. al. 17, 20 April., 21. März)
d5e248840Heiligenlexikon-1858;(4. Jan. al 10., 13 Febr.)
d5e248924Heiligenlexikon-1858;(5. al. 3. 13. März, 4. 5..)
d5e248924Heiligenlexikon-1858;(5. al. 3. 13. März, 4. 5..)
d5e249499Heiligenlexikon-1858;(16. Jan. al 14., 15. Juli)
d5e252426Heiligenlexikon-1858;(6. al. 7, 17. Febr., 22. Mai, 11. Dec.)
d5e252426Heiligenlexikon-1858;(6. al. 7, 17. Febr., 22. Mai, 11. Dec.)
d5e258075Heiligenlexikon-1858;(27. März, al. 24., 25. Sept.)
d5e258800Heiligenlexikon-1858;(11. al. 10., 16. Aug., 16. Mai, 1. Sept.)
d5e258800Heiligenlexikon-1858;(11. al. 10., 16. Aug., 16. Mai, 1. Sept.)
d5e261040Heiligenlexikon-1858;(14. Jan. al. 18. und 28. Oct.)
d5e262323Heiligenlexikon-1858;(29. al. 24., 28. Jan., 2. März, 29. Aug.)
d5e262323Heiligenlexikon-1858;(29. al. 24., 28. Jan., 2. März, 29. Aug.)
d5e262499Heiligenlexikon-1858;(31. Dec. al. 23., 20., 27. Aug., 22. Sept., 19. Oct.)
d5e264011Heiligenlexikon-1858;(20. Febr. al. 19. und 20. Oct.)
d5e266312Heiligenlexikon-1858;(11. Jan., al. 28., 29. Oct.)
d5e267758Heiligenlexikon-1858;(11. Oct., al. 22., 23. Sept.)
d5e273426Heiligenlexikon-1858;(29. Nov. al. 24., 26. Mai, 25. Juni, 6. Sept.)
d5e275291Heiligenlexikon-1858;(31. Dec. al. 25., 27. Aug., 19., 22. Oct.)
d5e280218Heiligenlexikon-1858;(29. al. 19., 30. März)
d5e280218Heiligenlexikon-1858;(29. al. 19., 30. März)
d5e290542Heiligenlexikon-1858;(1. Febr., al. 124. Jan., 22. Oct.)
d5e294743Heiligenlexikon-1858;(19. Oct. al. 21., 30. Mai)
d5e294907Heiligenlexikon-1858;(4. Mai al. 9., 27. März)
d5e298458Heiligenlexikon-1858;(18. al. 2., 27. April)
d5e298458Heiligenlexikon-1858;(18. al. 2., 27. April)
d5e298592Heiligenlexikon-1858;(21. al. 17., 22. Apr., 15. Mai)
d5e298592Heiligenlexikon-1858;(21. al. 17., 22. Apr., 15. Mai)
d5e301186Heiligenlexikon-1858;(1. März al. 14. u. 17. Juni)
d5e302736Heiligenlexikon-1858;(23. al. 21. und 22. Febr., 10. Mai)
d5e302736Heiligenlexikon-1858;(23. al. 21. und 22. Febr., 10. Mai)
d5e309499Heiligenlexikon-1858;(8. al. 9., 13. Febr., 25. Juni, 30. Aug.)
d5e309499Heiligenlexikon-1858;(8. al. 9., 13. Febr., 25. Juni, 30. Aug.)
d5e309700Heiligenlexikon-1858;(26. al. 28., 31. März)
d5e309700Heiligenlexikon-1858;(26. al. 28., 31. März)
d5e315669Heiligenlexikon-1858;(27. Jan. al 1., 20. Juni, 21. Juli)
d5e318155Heiligenlexikon-1858;(21. al. 23., 25. Mai, 3. Jan.)
d5e318155Heiligenlexikon-1858;(21. al. 23., 25. Mai, 3. Jan.)
d5e322240Heiligenlexikon-1858;(5., al. 2. Jan, 22. Febr.)
d5e322240Heiligenlexikon-1858;(5., al. 2. Jan, 22. Febr.)
d5e324396Heiligenlexikon-1858;(12. Apr., al. 16. u. 17. März)
d5e326349Heiligenlexikon-1858;(15. Oct., al. 27., 28. Sept.)
d5e329175Heiligenlexikon-1858;(11. Sept. al. 12. u. 17. Juli)
d5e332172Heiligenlexikon-1858;(9. Nov. al. 17., 18. Febr.)
d5e336988Heiligenlexikon-1858;(27. Dec. al. 27., 30. Jan., 11. Oct.)
d5e341658Heiligenlexikon-1858;(31. al. 7., 29. u. 30. Oct.)
d5e341658Heiligenlexikon-1858;(31. al. 7., 29. u. 30. Oct.)
