File;Accuracy;Precision;Recall
rule_based_evaluation.txt;0.71;0.4888888888888889;0.38596491228070173

;Gold Standard Match; System Match;HLexLink;WikidataLinkGold;WikidataLinkSystem
d3e411900Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e411900Heiligenlexikon-1858;;
d3e295888Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e295888Heiligenlexikon-1858;;
d3e82903Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e82903Heiligenlexikon-1858;;
d3e256208Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e256208Heiligenlexikon-1858;;
d3e132316Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e132316Heiligenlexikon-1858;;
d5e178304Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e178304Heiligenlexikon-1858;;
d3e68031Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e68031Heiligenlexikon-1858;;
d5e364492Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e364492Heiligenlexikon-1858;;
d3e296935Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e296935Heiligenlexikon-1858;;
d3e537925Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e537925Heiligenlexikon-1858;;
d3e312690Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e312690Heiligenlexikon-1858;;
d3e163573Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e163573Heiligenlexikon-1858;;
d5e315434Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e315434Heiligenlexikon-1858;;
d5e353903Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e353903Heiligenlexikon-1858;;
d5e370422Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e370422Heiligenlexikon-1858;;
d5e335866Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e335866Heiligenlexikon-1858;;
